OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
3637686,346,Thamachit,Rasuwa,1054,1987,1,27,0
3637687,346,Thamachit,Rasuwa,1054,1987,1,28,0
3637688,346,Thamachit,Rasuwa,1054,1987,1,29,0
3637689,346,Thamachit,Rasuwa,1054,1987,1,30,0
3637690,346,Thamachit,Rasuwa,1054,1987,1,31,0
3637691,346,Thamachit,Rasuwa,1054,1987,2,1,0
3637692,346,Thamachit,Rasuwa,1054,1987,2,2,0
3637693,346,Thamachit,Rasuwa,1054,1987,2,3,2
3637694,346,Thamachit,Rasuwa,1054,1987,2,4,0.3
3637695,346,Thamachit,Rasuwa,1054,1987,2,5,0
3637696,346,Thamachit,Rasuwa,1054,1987,2,6,0
3637697,346,Thamachit,Rasuwa,1054,1987,2,7,0
3637698,346,Thamachit,Rasuwa,1054,1987,2,8,0
3637699,346,Thamachit,Rasuwa,1054,1987,2,9,0
3637700,346,Thamachit,Rasuwa,1054,1987,2,10,0
3637701,346,Thamachit,Rasuwa,1054,1987,2,11,0
3637702,346,Thamachit,Rasuwa,1054,1987,2,12,0
3637703,346,Thamachit,Rasuwa,1054,1987,2,13,0
3637704,346,Thamachit,Rasuwa,1054,1987,2,14,0
3637705,346,Thamachit,Rasuwa,1054,1987,2,15,0
3637706,346,Thamachit,Rasuwa,1054,1987,2,16,0
3637707,346,Thamachit,Rasuwa,1054,1987,2,17,0
3637708,346,Thamachit,Rasuwa,1054,1987,2,18,0
3637709,346,Thamachit,Rasuwa,1054,1987,2,19,0
3637710,346,Thamachit,Rasuwa,1054,1987,2,20,0
3637711,346,Thamachit,Rasuwa,1054,1987,2,21,0
3637712,346,Thamachit,Rasuwa,1054,1987,2,22,0
3637713,346,Thamachit,Rasuwa,1054,1987,2,23,0
3637714,346,Thamachit,Rasuwa,1054,1987,2,24,0
3637715,346,Thamachit,Rasuwa,1054,1987,2,25,0
3637716,346,Thamachit,Rasuwa,1054,1987,2,26,0
