OBJECTID,gsid,formal_name,district,station_id,year,month,days,maxtemp
917652,363,Paigutang,Rasuwa,1072,1990,10,1,10
917653,363,Paigutang,Rasuwa,1072,1990,10,2,10
917654,363,Paigutang,Rasuwa,1072,1990,10,3,10.5
917655,363,Paigutang,Rasuwa,1072,1990,10,4,10.5
917656,363,Paigutang,Rasuwa,1072,1990,10,5,10.5
917657,363,Paigutang,Rasuwa,1072,1990,10,6,10.5
917658,363,Paigutang,Rasuwa,1072,1990,10,7,11
917659,363,Paigutang,Rasuwa,1072,1990,10,8,11
917660,363,Paigutang,Rasuwa,1072,1990,10,9,10.5
917661,363,Paigutang,Rasuwa,1072,1990,10,10,10.5
917662,363,Paigutang,Rasuwa,1072,1990,10,11,10.5
917663,363,Paigutang,Rasuwa,1072,1990,10,12,10.5
917664,363,Paigutang,Rasuwa,1072,1990,10,13,7
917665,363,Paigutang,Rasuwa,1072,1990,10,14,3.5
917666,363,Paigutang,Rasuwa,1072,1990,10,15,8
917667,363,Paigutang,Rasuwa,1072,1990,10,16,7
917668,363,Paigutang,Rasuwa,1072,1990,10,17,6.5
917669,363,Paigutang,Rasuwa,1072,1990,10,18,5
917670,363,Paigutang,Rasuwa,1072,1990,10,19,7
917671,363,Paigutang,Rasuwa,1072,1990,10,20,8
917672,363,Paigutang,Rasuwa,1072,1990,10,21,8.5
917673,363,Paigutang,Rasuwa,1072,1990,10,22,7
917674,363,Paigutang,Rasuwa,1072,1990,10,23,8.5
917675,363,Paigutang,Rasuwa,1072,1990,10,24,8.5
917676,363,Paigutang,Rasuwa,1072,1990,10,25,7.5
917677,363,Paigutang,Rasuwa,1072,1990,10,26,5.5
917678,363,Paigutang,Rasuwa,1072,1990,10,27,4.5
917679,363,Paigutang,Rasuwa,1072,1990,10,28,5
917680,363,Paigutang,Rasuwa,1072,1990,10,29,5
917681,363,Paigutang,Rasuwa,1072,1990,10,30,4
917682,363,Paigutang,Rasuwa,1072,1990,10,31,2.5
917683,363,Paigutang,Rasuwa,1072,1990,11,1,5.5
917684,363,Paigutang,Rasuwa,1072,1990,11,2,7.5
917685,363,Paigutang,Rasuwa,1072,1990,11,3,7
917686,363,Paigutang,Rasuwa,1072,1990,11,4,9
917687,363,Paigutang,Rasuwa,1072,1990,11,5,9
917688,363,Paigutang,Rasuwa,1072,1990,11,6,9
917689,363,Paigutang,Rasuwa,1072,1990,11,7,9
917690,363,Paigutang,Rasuwa,1072,1990,11,8,8
917691,363,Paigutang,Rasuwa,1072,1990,11,9,7
917692,363,Paigutang,Rasuwa,1072,1990,11,10,6
917693,363,Paigutang,Rasuwa,1072,1990,11,11,7
917694,363,Paigutang,Rasuwa,1072,1990,11,12,6.5
917695,363,Paigutang,Rasuwa,1072,1990,11,13,10
917696,363,Paigutang,Rasuwa,1072,1990,11,14,10
917697,363,Paigutang,Rasuwa,1072,1990,11,15,9.5
917698,363,Paigutang,Rasuwa,1072,1990,11,16,8.5
917699,363,Paigutang,Rasuwa,1072,1990,11,17,6
917700,363,Paigutang,Rasuwa,1072,1990,11,18,6.5
917701,363,Paigutang,Rasuwa,1072,1990,11,19,6.5
917702,363,Paigutang,Rasuwa,1072,1990,11,20,9
917703,363,Paigutang,Rasuwa,1072,1990,11,21,9
917704,363,Paigutang,Rasuwa,1072,1990,11,22,5
917705,363,Paigutang,Rasuwa,1072,1990,11,23,4
917706,363,Paigutang,Rasuwa,1072,1990,11,24,3
917707,363,Paigutang,Rasuwa,1072,1990,11,25,0
917708,363,Paigutang,Rasuwa,1072,1990,11,26,7
917709,363,Paigutang,Rasuwa,1072,1990,11,27,7
917710,363,Paigutang,Rasuwa,1072,1990,11,28,7.5
917711,363,Paigutang,Rasuwa,1072,1990,11,29,5.5
917712,363,Paigutang,Rasuwa,1072,1990,11,30,5.5
917713,363,Paigutang,Rasuwa,1072,1990,12,1,0
917714,363,Paigutang,Rasuwa,1072,1990,12,2,0
917715,363,Paigutang,Rasuwa,1072,1990,12,3,0
917716,363,Paigutang,Rasuwa,1072,1990,12,4,0
917717,363,Paigutang,Rasuwa,1072,1990,12,5,0
